index,photo_url,age,act_id,name,real_name,religion,agency,spouse,children,debut_year,gender,state
71,//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/191025_%EC%8B%A0%EC%9E%AC%ED%95%98.jpg/250px-191025_%EC%8B%A0%EC%9E%AC%ED%95%98.jpg,27,72,신재하,no real name,no religion,제이와이드컴퍼니,no spouse,no child,2013,m,0
72,//upload.wikimedia.org/wikipedia/commons/thumb/2/23/190626_%EC%95%88%EC%84%B1%EA%B8%B0.jpg/250px-190626_%EC%95%88%EC%84%B1%EA%B8%B0.jpg,68,73,안성기,no real name,천주교 (세례명: 사도요한),no angency,오소영(조각가 겸 대학 교수),"안다빈(장남), 안필립(차남)",1957,m,0
73,//upload.wikimedia.org/wikipedia/commons/thumb/7/70/180430_%EC%95%88%EC%9E%AC%EC%9A%B1.jpg/250px-180430_%EC%95%88%EC%9E%AC%EC%9A%B1.jpg,49,74,안재욱,no real name,no religion,제이블엔터테인먼트,최현주,안수현,1994,m,0
74,//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/190503_%EC%95%88%ED%9A%A8%EC%84%AD.jpg/250px-190503_%EC%95%88%ED%9A%A8%EC%84%AD.jpg,25,75,안효섭,no real name,천주교,스타하우스엔터테인먼트,no spouse,no child,2015,m,0
75,//upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Yang_Dong-geun_from_acrofan.jpg/250px-Yang_Dong-geun_from_acrofan.jpg,41,76,양동근,no real name,개신교,조 엔터테인먼트,박가람,아들 양준서 딸 양조이 아들 양실로,1987,m,0
76,//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/171216_%EC%96%91%EC%84%B8%EC%A2%85_10.jpg/250px-171216_%EC%96%91%EC%84%B8%EC%A2%85_10.jpg,27,77,양세종,no real name,no religion,굳피플,no spouse,no child,2016,m,0
77,//upload.wikimedia.org/wikipedia/commons/c/c0/180920_SBS_%27%ED%9D%89%EB%B6%80%EC%99%B8%EA%B3%BC%27_%EC%A0%9C%EC%9E%91%EB%B0%9C%ED%91%9C%ED%9A%8C_%EC%97%84%EA%B8%B0%EC%A4%80.jpg,44,78,엄기준,no real name,no religion,싸이더스HQ,no spouse,no child,1995,m,0
78,//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Uhm_Tae-goo.2019.jpg/250px-Uhm_Tae-goo.2019.jpg,36,79,엄태구,no real name,no religion,프레인TPC,no spouse,no child,2007,m,0
79,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Uhm_Tae-woong_at_BIFF_2013_02.jpg/250px-Uhm_Tae-woong_at_BIFF_2013_02.jpg,46,80,엄태웅,no real name,no religion,화이브라더스,윤혜진,엄지온 (딸),1998,m,0
80,//upload.wikimedia.org/wikipedia/commons/thumb/5/5a/190708_%EC%97%AC%EC%A7%84%EA%B5%AC.jpg/260px-190708_%EC%97%AC%EC%A7%84%EA%B5%AC.jpg,23,81,여진구,no real name,no religion,JANUS ENT,no spouse,no child,2005,m,0
81,//upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Yeon_Woo-jin_in_August_2019.jpg/250px-Yeon_Woo-jin_in_August_2019.jpg,36,82,연우진,김봉회,no religion,점프엔터테인먼트,no spouse,no child,2009,m,0
82,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Yeon_Jeong-hun_from_acrofan_-_cropped_01.jpg/250px-Yeon_Jeong-hun_from_acrofan_-_cropped_01.jpg,42,83,연정훈,no real name,no religion,935엔터테인먼트,한가인(2005년 ~ ),1남 1녀,1999,m,0
83,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Oh_Min-suk_for_Estee_Lauder%2C_18_September_2015.jpg/250px-Oh_Min-suk_for_Estee_Lauder%2C_18_September_2015.jpg,40,84,오민석,no real name,천주교 (세례명 : 바오로),제이와이드컴퍼니,no spouse,no child,2006,m,0
84,//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Oh_Chang-seok_in_May_2019.png/250px-Oh_Chang-seok_in_May_2019.png,38,85,오창석,오연준,no religion,PF엔터테인먼트,no spouse,no child,2008,m,0
85,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/171230_%EC%9A%B0%EB%8F%84%ED%99%98_02.jpg/250px-171230_%EC%9A%B0%EB%8F%84%ED%99%98_02.jpg,28,86,우도환,no real name,no religion,키이스트,no spouse,no child,2011,m,0
86,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Yoo_Seung-ho_at_Nov_2018.png/250px-Yoo_Seung-ho_at_Nov_2018.png,27,87,유승호,no real name,무교,스토리제이컴퍼니,no spouse,no child,2000,m,0
87,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Yoo_Yeon-seok_-_Bean_Pole_catalogue_2015_Spring-Summer_01.jpg/250px-Yoo_Yeon-seok_-_Bean_Pole_catalogue_2015_Spring-Summer_01.jpg,36,88,유연석,안연석,천주교,스타쉽엔터테인먼트(킹콩 by 스타쉽),no spouse,no child,2003,m,0
88,//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/190502_%EC%9C%A0%EC%A7%80%ED%83%9C.jpg/250px-190502_%EC%9C%A0%EC%A7%80%ED%83%9C.jpg,44,89,유지태,no real name,개신교,BH엔터테인먼트,김효진 (2011년 12월 8일 ~ 현재),아들 유수인 유루인,1998,m,0
89,//upload.wikimedia.org/wikipedia/commons/thumb/7/71/190425_%EC%9C%A4%EC%84%A0%EC%9A%B0.jpg/290px-190425_%EC%9C%A4%EC%84%A0%EC%9A%B0.jpg,35,90,윤선우,윤민수,no religion,935 엔터테인먼트,no spouse,no child,2003,m,0
90,//upload.wikimedia.org/wikipedia/commons/thumb/d/d2/191113_%EC%9C%A4%EC%8B%9C%EC%9C%A4_%282%29.jpg/250px-191113_%EC%9C%A4%EC%8B%9C%EC%9C%A4_%282%29.jpg,34,91,윤시윤,no real name,개신교(예장합동)[1],모아엔터테인먼트,no spouse,no child,2009,m,0
91,//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Yoon_Hee-seok_from_acrofan.jpg/250px-Yoon_Hee-seok_from_acrofan.jpg,45,92,윤희석,no real name,no religion,윌엔터테인먼트,no spouse,딸 윤해인,1996,m,0
92,//upload.wikimedia.org/wikipedia/commons/d/dd/Lee_Kwang-Gi.jpg,52,93,이광기,no real name,개신교(장로회),올박스,박지영,이연지(딸)장남 이석규(2009년 사망) 차남 이준서,1985,m,0
93,//upload.wikimedia.org/wikipedia/commons/c/c2/Lee_David.jpg,26,94,이다윗,no real name,no religion,no angency,no spouse,no child,2001,m,0
